TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
3,2640,2017-2018,Jul,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
7,3080,2017-2018,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Sep,Randwick City Council,Fail to comply with Food Standards Code - Individual
3,2640,2017-2018,Oct,Yass Valley Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Mar,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,1540,2017-2018,Mar,Canterbury-Bankstown Council,Fail to comply with a prohibition order - Corporation
1,440,2017-2018,Jun,Georges River Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Aug,North Sydney City Council,Fail to comply with Food Standards Code - Individual
2,1760,2017-2018,May,Broken Hill City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2018-2019,Dec,Department of Primary Industries,Carry on food business/activity without a licence - Corporation
2,1760,2018-2019,Jan,City of Ryde,Fail to comply with Food Standards Code - Corporation
3,2640,2018-2019,Jan,Georges River Council,Fail to comply with Food Standards Code - Corporation
4,2640,2016-2017,Jun,Department of Primary Industries,Handle/sell food so as to contravene the food safety scheme - Individual
2,880,2016-2017,Feb,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Jul,Fairfield City Council,Fail to pay fee required by improvement notice - Corporation
16,14080,2013-2014,Mar,City of Parramatta,Fail to comply with Food Standards Code - Corporation
6,5280,2012-2013,Jan,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,May,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2017-2018,Dec,Cumberland Council,Fail to comply with a prohibition order - Corporation
1,880,2014-2015,Jul,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2016-2017,Jul,Inner West Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Mar,Waverley Council,Not appoint food safety supervisor for premises - Corporation
6,5280,2016-2017,Jan,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Aug,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Mar,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Apr,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
5,2200,2013-2014,Apr,Ku-ring-gai Council,Fail to comply with Food Standards Code - Individual
9,3960,2018-2019,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,1320,2016-2017,Jan,Wollongong City Council,Fail to pay fee required by improvement notice - Corporation
9,7920,2017-2018,Nov,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,1540,2017-2018,Oct,Cumberland Council,Fail to comply with a prohibition order - Corporation
1,880,2013-2014,Jun,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Aug,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,May,Penrith City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2013-2014,Jul,Randwick City Council,Fail to comply with Food Standards Code - Individual
5,4400,2017-2018,Jan,Waverley Council,Fail to comply with Food Standards Code - Corporation
8,7040,2017-2018,Feb,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Dec,Lismore City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Dec,Blacktown City Council,Sell food that is unsuitable - Corporation
1,880,2014-2015,Jun,City of Parramatta,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,May,Coffs Harbour City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jun,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,Jan,Mosman Municipal Council,Not appoint food safety supervisor for premises - Corporation
2,880,2015-2016,Aug,North Sydney City Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
3,1320,2015-2016,Nov,Cumberland Council,Fail to comply with Food Standards Code - Individual
4,1760,2018-2019,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
5,4400,2014-2015,Dec,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
2,880,2014-2015,Oct,Shoalhaven City Council,Fail to comply with Food Standards Code - Individual
5,2200,2018-2019,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Sep,Ku-ring-gai Council,Fail to comply with Food Standards Code - Individual
1,660,2014-2015,Apr,Department of Primary Industries,Carry on food business/activity without a licence - Individual
1,880,2013-2014,Jan,Wagga Wagga City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jul,Inner West Council,Fail to comply with Food Standards Code - Individual
12,10560,2017-2018,Aug,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,2640,2014-2015,Aug,Blacktown City Council,Sell food that is unsuitable - Corporation
2,880,2015-2016,Apr,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,1540,2017-2018,Jan,Georges River Council,Sell unsafe food - Corporation
2,880,2012-2013,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Individual
8,3520,2015-2016,Feb,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Dec,North Sydney City Council,Not appoint food safety supervisor for premises - Corporation
15,13200,2013-2014,Dec,City of Parramatta,Fail to comply with Food Standards Code - Corporation
3,2640,2018-2019,Jul,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Jun,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
10,4400,2012-2013,Feb,Fairfield City Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Sep,Fairfield City Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Nov,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2012-2013,Jun,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Mar,City of Canada Bay Council,Sell food that fails to comply with the Food Standards Code - Individual
2,1760,2017-2018,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,1320,2014-2015,Nov,Hornsby Shire Council,Fail to pay fee required by improvement notice - Corporation
4,1760,2014-2015,Nov,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Jan,Campbelltown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,1320,2013-2014,Aug,Canterbury-Bankstown Council,Fail to pay fee required by improvement notice - Individual
10,8800,2012-2013,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Sep,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Sep,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Jun,Georges River Council,Fail to comply with Food Standards Code - Individual
3,1320,2012-2013,Jan,Central Coast Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Dec,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
4,1760,2015-2016,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,330,2017-2018,Nov,Campbelltown City Council,Not continue to have food safety supervisor for premises - Individual
12,10560,2017-2018,Jun,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
21,18480,2017-2018,Apr,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
5,2200,2012-2013,Apr,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
5,4400,2017-2018,Mar,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Aug,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
9,7920,2015-2016,May,Inner West Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Mar,Penrith City Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,Aug,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Sep,Fairfield City Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Sep,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
2,3080,2013-2014,May,Campbelltown City Council,Sell unsafe food - Corporation
3,2640,2017-2018,Sep,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Jun,City of Ryde,Fail to comply with Food Standards Code - Corporation
8,7040,2016-2017,Dec,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
5,4400,2016-2017,Jan,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,1320,2017-2018,Dec,Blacktown City Council,Sell food that is unsuitable - Corporation
5,4400,2016-2017,Feb,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
7,3080,2012-2013,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
30,26400,2013-2014,May,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jan,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
2,660,2014-2015,Nov,Newcastle City Council,Not appoint food safety supervisor for premises - Individual
1,1320,2017-2018,Jul,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
2,880,2012-2013,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Apr,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
4,1760,2013-2014,Sep,Tweed Shire Council,Fail to comply with Food Standards Code - Individual
1,1540,2015-2016,Apr,Northern Beaches Council,Sell unsafe food - Corporation
4,1760,2014-2015,Jun,Georges River Council,Fail to comply with Food Standards Code - Individual
3,1320,2015-2016,Nov,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
4,1760,2014-2015,Sep,Willoughby City Council,Fail to comply with Food Standards Code - Individual
5,4400,2015-2016,Apr,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Jul,Georges River Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Sep,Lismore City Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Jun,Penrith City Council,Fail to comply with Food Standards Code - Individual
4,3520,2018-2019,Nov,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,880,2017-2018,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jan,Waverley Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Apr,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,May,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
8,3520,2017-2018,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
3,1320,2013-2014,Jun,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
6,5280,2016-2017,Oct,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2018-2019,Dec,Cumberland Council,Fail to comply with a prohibition order - Corporation
13,11440,2018-2019,Nov,Cumberland Council,Fail to comply with Food Standards Code - Corporation
11,9680,2013-2014,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,Mar,City of Parramatta,Fail to comply with Food Standards Code - Corporation
5,4400,2018-2019,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
